  -552,  -841, -1164,  -307,   188,  -435
  -618,  -435,  -914,  -739,    -4,    41
  -823,  -686, -1241,  -883,  -468,   527
 -1013, -1611, -1748,  -761,  -643,   288
 -1177, -1629, -2209,  -604,  -593,  -288
 -1116, -1110, -2192,  -305,   -13,  -523
  -782,  -721, -1531,  -538,   256,  -191
  -711,  -400,  -855,  -528,    82,   268
  -618,  -541, -1680,  -510,  -646,   594
  -465, -1026, -1983,  -325,  -179,   420
  -778, -1460, -1963,  -120,    54,    41
  -986, -1413, -1630,  -228,   187,  -357
  -925,  -701, -1522,   -94,   -16,  -337
 -1349,  -466,  -817,  -729,  -589,   285
  -917,  -968, -1804,  -826,   335,   610
  -816, -1485, -1792,  -330,  -160,   220
  -926, -1207, -1930,   179,  -227,  -203
  -840,  -957, -1846,   236,    97,  -190
  -631,  -703, -1308,   113,   150,  -167
  -690,  -437, -1029,    41,  -219,   -17
 -1046, -1328, -2368,  -164,  -252,    67
 -1042, -1452, -1922,   479,  -133,  -423
  -869, -1043, -1884,   919,  -263,  -600
  -861, -1324, -2065,  1152,  -289,  -669
  -801, -1208, -1728,  1813,  -325,  -891
  -728, -1179, -1519,  2336,  -362,  -958
  -631, -1254, -1714,  2195,   -69,  -889
  -878, -1321, -1290,  1699,    49,  -835
 -1071, -1300, -1335,   958,  -317,  -716
  -965, -1261, -1193,   955,  -516,  -724
  -872, -1101, -1357,   769,  -458,  -419
  -776, -1192, -1339,   199,   -77,    18
  -770, -1757, -1386,   -25,   188,   117
  -757, -1708, -1332,   -57,   707,  -195
  -709, -1546, -1163,  -105,   553,  -194
  -757, -1961, -1472,   274,   609,  -366
  -775, -1777, -1207,   525,   566,  -966
  -694, -1420, -1303,   881,   226, -1291
  -610, -1269, -1397,  1258,    42, -1417
 -1182, -1006,  -636,   882,   407, -1341
  -603, -1947, -1474,  1201,  -208, -1050
  -723, -1704, -1134,  1039,  -109, -1273
  -552, -1876,  -980,  1119,  -422, -1242
  -483, -1903, -1039,  2188,  -720, -1483
  -391, -1455,  -734,  2829, -1022, -1392
  -480, -1626,  -455,  2834, -1267, -1123
  -569, -1666, -1179,  1280, -1853, -1138
  -834, -1261,  -500,  1567, -1539, -1374
  -399, -1814,  -111,  1756, -1907, -1371
  -257, -2027,    47,  2074, -2162, -1363
  -200, -1823,   224,  1672, -2165, -1326
    -6, -1728,   337,   614, -2155, -1164
    89, -1737,   349,     2, -2108,  -972
   139, -2655,   715,   432, -2371, -1093
    26, -2744,  1038,  1522, -3122, -1551
   266, -2033,   137,  1314, -3392, -1588
   392, -1868,  -501,   611, -2918, -1312
   588, -1504,  -791,    22, -2083,  -837
   350, -2792, -1705,   -20,  -951,  -930
   240, -2638, -1015,  -646,  -564, -1356
  -240, -1303,  -877,  -705,  -312, -1236
  -205, -1617,  -593,  -542,  -324,  -428
   754, -2041,  -876,  -546,  -900,  -375
   497, -1665,  -367, -1008,  -118,  -438
   478, -2189,  -117, -1047,  -115,   -98
   421, -1457,  -455,  -415,  -182,  -196
   382, -1982,  -823,  -297,  -241,    98
   335, -1748,  -658,  -639,  -254,   -46
   409, -1876,  -479,  -335,  -349,  -113
   425, -1973,  -564,  -117,  -446,  -101
   444, -1625,  -458,   307,  -400,   223
   562, -2162,  -437,    52,  -346,   299
   589, -2138,  -370,   147,   282,   465
  -176, -1669,    79, -1006,   -18,  -841
  -125, -2106,  -406, -1874, -1962, -1286
   487, -2124,  -556, -1986, -2015, -1051
   856, -1898,  -725,  -855,  -732,  -710
   824, -1809,  -704,   -12,   196,  -344
   852, -1421, -1422,   -35,  -560,  -203
   509, -1595,  -682,   440,  -125,  -270
   553, -1814,  -434,   -65,   -20,  -122
   509, -1767,  -587,  -239,  -152,  -154
   417, -1824,  -583,  -190,  -231,   -74
   536, -1911,  -691,   284,   -43,    29
   549, -1856,  -581,   485,   -56,   116
   502, -1946,  -532,   278,  -125,    58
   445, -2004,  -511,    19,  -216,    -9
   485, -1970,  -572,    22,  -390,   -75
   603, -1934,  -633,   261,  -222,   -34
   672, -1867,  -613,   397,   -37,    75
   614, -1920,  -464,   262,    54,   164
   494, -2008,  -453,    11,    19,   217
   473, -2064,  -448,  -225,  -160,    58
   372, -2010,  -575,  -306,  -288,   -55
 -1715, -3344,  1406,    47,  1575,   141
   295, -1657,  -897,    89,    88,   209
   540, -1674,  -884,   341,   255,   392
   526, -1837,  -695,   466,   256,   322
   562, -1950,  -473,   445,   203,    35
   425, -2108,  -239,   369,    37,  -247
   352, -2006,  -438,   167,  -152,  -202
   411, -1933,  -671,   112,  -111,    50
   634, -1838,  -751,   147,   179,   158
   658, -1812,  -640,   197,   423,    82
   785, -1844,  -530,   186,   382,   -58
   420, -1837,  -445,   288,   -37,  -157
   430, -1798,  -596,   640,  -342,  -198
   496, -1800,  -660,  1223,    98,   203
   200, -1675,  -540,  1059,    86,   325
   646, -1772,  -488,   927,   430,   733
   686, -1905,  -288,  1047,   924,   896
   877, -1983,  -336,  1407,  1197,   947
   747, -2078,  -379,  2255,  1998,  1551
   171, -1969,  -101,  2682,  2515,  1773
   660, -1022,  -972,  3158,   510,  2042
  -126, -1961,    18,  2309,  1765,  2582
    -5, -1968,    18,  2340,  1568,  3575
    36, -1841,   195,  3103,  2392,  3635
  -119, -1709,   682,  3326,  2994,  3074
  -866, -1676,   991,  2817,  2163,  2672
 -1386, -1642,  1040,  1111,    96,  1751
 -1496, -1644,  1002,   -91,  -669,   468
  -902, -1741,   721,   136,   199,   488
  -775, -1681,   611,  1164,  1678,  1479
  -954, -1594,   645,  1731,  2603,  2057
 -1061, -1546,   771,  1749,  2579,  2318
 -1131, -1491,   671,  1425,  2004,  2303
 -1186, -1404,   675,  1606,  1882,  2343
 -1342, -1266,   667,  2087,  2374,  2542
 -1491,  -944,   441,  3055,  3649,  2805
 -1474,  -780,   570,  3650,  4451,  2893
 -1820,  -682,   686,  3827,  4391,  2893
 -2012,  -548,   587,  3853,  3685,  2647
 -2043,  -588,   386,  3642,  2683,  1855
 -1987,  -529,   390,  3131,  1936,   898
 -2466,  -298,   449,  1782,  1025,   631
 -2266,  -330,   379,   940,   234,   559
 -2234,  -433,   464,   533,  -347,   183
 -2203,  -499,   479,   299,  -700,  -256
 -2150,  -522,   439,   392,  -452,  -399
 -2040,  -458,   424,   767,   159,  -332
  -517,  -832,   928,   189,  1497,  -510
 -1786,  -726,   356,   624,  1182,   467
 -1882,  -489,   465,   692,   683,   399
 -1967,  -389,   481,   903,   320,  -128
 -1985,  -491,   415,   862,   -34,   558
 -1751,  -494,   425,  1174,    68,   914
 -1706,  -501,   464,  1241,   101,   658
 -1822,  -347,   396,  1131,   244,   200
 -1812,  -340,   656,   766,   494,   -59
 -1987,  -371,   763,   237,   -94,  -166
 -2106,  -345,   499,  -276,  -647,  -284
 -2127,  -292,   249,  -288,  -934,   -56
 -2063,  -235,   284,   -60,  -819,    13
 -2057,  -322,   245,   167,  -375,   252
 -1928,  -193,   239,   201,  -123,   484
 -1860,  -340,   541,    73,   200,   491
 -1843,  -300,   632,     9,   435,   347
 -2131,  -238,   728,  -267,   327,    67
 -2204,  -293,   633,  -315,  -136,    86
 -2106,  -201,   494,  -298,  -434,   192
 -1893,  -215,   455,  -472,  -479,    34
 -1752,  -328,   457,  -278,  -160,    25
 -1949,  -217,   404,    91,    95,    88
 -1822,  -161,   544,   191,   206,   -30
 -2021,  -176,   636,    -5,    85,  -293
 -2132,  -255,   539,  -230,  -269,  -196
 -1803,  -248,   395,   -62,  -393,   207
 -1623,  -168,   122,   432,    54,   655
 -1903,  -185,   356,   498,   472,   620
 -1967,  -234,   616,   136,   444,   306
 -2052,   -82,   494,  -185,    56,   154
 -1879,   -78,   380,   -34,  -198,   355
 -1953,  -140,   244,   360,   217,   669
 -1773,  -211,   640,   184,   639,   404
 -1911,   -93,   541,     5,   907,    99
 -2420,  -110,   746,   -77,   514,  -184
 -2276,  -216,   563,   -24,  -306,  -217
 -2087,   -86,   272,   117,  -704,  -112
 -1890,  -105,   210,    63,  -494,    86
 -2087,  -230,   392,   111,  -143,   325
 -2258,   118,   399,   153,   -80,   424
 -2358,  -158,   790,    92,  -660,   252
 -2155,   161,   578,    80, -1390,   422
 -2137,   283,   274,  -225, -1131,   822
 -2189,   372,  -124,     1,  -720,  1138
 -1176, -1870,   426,  1146,   869,     5
 -1909,   -20,   332,  1316,    58, -1308
 -1639,   723,   224,   956,   154,  -720
 -2232,   637,  5724,  -201,   235,   438
